symbol,direction,entry_i,exit_i,days,premium_entry,premium_exit,pnl_usd,return_pct,exit
AAPL,bearish,127,132,5,5.841,3.223,-261.78,-44.82,stop
AAPL,bullish,134,135,1,5.021,2.814,-220.71,-43.96,stop
AAPL,bearish,137,152,15,5.224,5.918,69.42,13.29,time
AAPL,bearish,154,157,3,3.444,6.776,666.5,96.77,target
AAPL,bearish,204,205,1,4.901,3.682,-243.72,-24.86,flip
AAPL,bullish,205,210,5,4.98,3.098,-376.3,-37.78,stop
AAPL,bearish,213,217,4,4.908,8.402,698.66,71.17,target
AAPL,bullish,224,225,1,4.689,4.506,-36.42,-3.88,flip
AAPL,bearish,225,227,2,4.409,2.635,-354.84,-40.24,stop
AAPL,bullish,227,229,2,4.871,2.614,-451.34,-46.33,stop
AAPL,bearish,233,246,13,4.446,9.174,945.57,106.34,target
AAPL,bearish,270,273,3,3.434,1.939,-299.07,-43.54,stop
AAPL,bearish,281,283,2,2.661,5.652,897.23,112.38,target
AAPL,bearish,284,288,4,2.622,4.705,624.87,79.44,target
AAPL,bearish,308,314,6,2.716,5.411,808.35,99.2,target
AAPL,bullish,318,320,2,4.518,2.746,-354.29,-39.21,stop
AAPL,bullish,362,366,4,4.632,1.783,-569.97,-61.52,stop
AAPL,bearish,367,373,6,4.3,2.251,-409.75,-47.64,stop
AAPL,bullish,376,386,10,3.794,2.033,-352.16,-46.41,stop
AAPL,bearish,386,395,9,3.225,7.163,1181.2,122.07,target
NVDA,bearish,130,132,2,2.995,1.808,-356.25,-39.65,stop
NVDA,bullish,141,144,3,2.562,4.119,467.28,60.81,target
NVDA,bearish,150,152,2,2.362,1.506,-342.22,-36.22,stop
NVDA,bearish,200,203,3,1.907,1.158,-374.88,-39.31,stop
NVDA,bullish,207,214,7,3.016,1.828,-356.24,-39.37,stop
NVDA,bearish,217,220,3,2.579,1.515,-319.21,-41.26,stop
NVDA,bullish,223,225,2,3.177,5.44,678.95,71.24,target
NVDA,bullish,240,252,12,3.112,1.389,-517.14,-55.38,stop
NVDA,bullish,259,262,3,3.219,6.012,837.91,86.77,target
NVDA,bearish,300,305,5,2.868,1.76,-332.33,-38.62,stop
NVDA,bullish,318,321,3,3.157,1.954,-361.05,-38.12,stop
NVDA,bearish,323,333,10,2.771,1.695,-322.87,-38.83,stop
NVDA,bearish,350,351,1,2.071,1.15,-368.32,-44.47,stop
NVDA,bearish,364,367,3,3.051,1.818,-369.86,-40.42,stop
NVDA,bearish,376,380,4,2.822,4.837,604.4,71.39,target
NVDA,bearish,381,385,4,2.638,4.301,498.87,63.03,target
NVDA,bearish,406,409,3,1.974,1.255,-359.69,-36.44,stop
NVDA,bullish,420,428,8,2.232,4.652,967.88,108.39,target
